Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,PMR 01,446.00625,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
2,PMR 02,446.01875,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
3,PMR 03,446.03125,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
4,PMR 04,446.04375,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
5,PMR 05,446.05625,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
6,PMR 06,446.06875,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
7,PMR 07,446.08125,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
8,PMR 08,446.09375,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
9,PMR 09,446.10625,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
10,PMR 10,446.11875,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
11,PMR 11,446.13125,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
12,PMR 12,446.14375,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
13,PMR 13,446.15625,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
14,PMR 14,446.16875,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
15,PMR 15,446.18125,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
16,PMR 16,446.19375,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
